FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2010/11,Kootenay,Kootenay Boundary Regional District,SPIRITS,"113,012.63","3,448,455.16"
Fiscal 2010/11,Kootenay,Kootenay Boundary Regional District,WINE,"270,824.51","3,082,119.51"
Fiscal 2010/11,Mainland and Southwest,Fraser Valley Regional District,BEER,"3,494,252.92","14,538,239.75"
Fiscal 2010/11,Mainland and Southwest,Fraser Valley Regional District,REFRESHMENT BEVERAGE,"462,476.82","2,130,386.50"
Fiscal 2010/11,Mainland and Southwest,Fraser Valley Regional District,SPIRITS,"600,346.60","18,281,603.03"
Fiscal 2010/11,Mainland and Southwest,Fraser Valley Regional District,WINE,"1,314,722.16","15,357,031.56"
Fiscal 2010/11,Mainland and Southwest,Greater Vancouver Regional District,BEER,"37,046,490.88","160,179,633.06"
Fiscal 2010/11,Mainland and Southwest,Greater Vancouver Regional District,REFRESHMENT BEVERAGE,"3,696,516.58","16,831,810.35"
Fiscal 2010/11,Mainland and Southwest,Greater Vancouver Regional District,SPIRITS,"5,535,469.51","179,711,278.45"
Fiscal 2010/11,Mainland and Southwest,Greater Vancouver Regional District,WINE,"16,407,128.61","236,544,128.30"
Fiscal 2010/11,Mainland and Southwest,Squamish-Lillooet Regional District,BEER,"2,561,904.53","10,873,326.53"
Fiscal 2010/11,Mainland and Southwest,Squamish-Lillooet Regional District,REFRESHMENT BEVERAGE,"302,729.02","1,342,768.79"
Fiscal 2010/11,Mainland and Southwest,Squamish-Lillooet Regional District,SPIRITS,"224,942.14","7,336,793.54"
Fiscal 2010/11,Mainland and Southwest,Squamish-Lillooet Regional District,WINE,"657,813.56","10,539,796.77"
Fiscal 2010/11,Mainland and Southwest,Sunshine Coast Regional District,BEER,"1,120,464.01","4,749,314.17"
Fiscal 2010/11,Mainland and Southwest,Sunshine Coast Regional District,REFRESHMENT BEVERAGE,"131,425.04","583,570.72"
Fiscal 2010/11,Mainland and Southwest,Sunshine Coast Regional District,SPIRITS,"155,697.76","4,839,029.60"
Fiscal 2010/11,Mainland and Southwest,Sunshine Coast Regional District,WINE,"473,609.62","5,968,620.29"
Fiscal 2010/11,Nechako,Bulkley-Nechako Regional District,BEER,"1,316,957.91","5,417,336.68"
Fiscal 2010/11,Nechako,Bulkley-Nechako Regional District,REFRESHMENT BEVERAGE,"130,288.35","615,136.69"
Fiscal 2010/11,Nechako,Bulkley-Nechako Regional District,SPIRITS,"148,648.82","4,551,758.13"
Fiscal 2010/11,Nechako,Bulkley-Nechako Regional District,WINE,"224,398.50","2,557,434.64"
Fiscal 2010/11,North Coast,Kitimat-Stikine Regional District,BEER,"741,193.98","3,062,114.21"
Fiscal 2010/11,North Coast,Kitimat-Stikine Regional District,REFRESHMENT BEVERAGE,"89,212.19","412,790.86"
Fiscal 2010/11,North Coast,Kitimat-Stikine Regional District,SPIRITS,"99,679.21","3,037,489.71"
Fiscal 2010/11,North Coast,Kitimat-Stikine Regional District,WINE,"189,311.12","2,127,231.71"
Fiscal 2010/11,North Coast,Skeena-Queen Charlotte Regional District,BEER,"550,694.11","2,278,997.95"
Fiscal 2010/11,North Coast,Skeena-Queen Charlotte Regional District,REFRESHMENT BEVERAGE,"64,837.01","296,908.36"
Fiscal 2010/11,North Coast,Skeena-Queen Charlotte Regional District,SPIRITS,"70,481.52","2,175,805.23"
Fiscal 2010/11,North Coast,Skeena-Queen Charlotte Regional District,WINE,"127,007.94","1,450,708.77"
Fiscal 2010/11,Northeast,Northern Rockies Regional District,BEER,"146,150.68","619,135.71"
Fiscal 2010/11,Northeast,Northern Rockies Regional District,REFRESHMENT BEVERAGE,"13,694.56","70,193.94"
Fiscal 2010/11,Northeast,Northern Rockies Regional District,SPIRITS,"23,558.14","714,394.12"
Fiscal 2010/11,Northeast,Northern Rockies Regional District,WINE,"20,744.25","257,170.54"
Fiscal 2010/11,Northeast,Peace River-Liard Regional District,BEER,"1,666,885.30","6,940,450.54"
Fiscal 2010/11,Northeast,Peace River-Liard Regional District,REFRESHMENT BEVERAGE,"163,011.40","817,937.46"
Fiscal 2010/11,Northeast,Peace River-Liard Regional District,SPIRITS,"217,480.81","6,653,723.87"
Fiscal 2010/11,Northeast,Peace River-Liard Regional District,WINE,"252,866.33","2,865,226.80"
Fiscal 2010/11,Thompson Okanagan,Central Okanagan Regional District,BEER,"3,439,417.21","14,375,754.89"
Fiscal 2010/11,Thompson Okanagan,Central Okanagan Regional District,REFRESHMENT BEVERAGE,"424,323.34","1,957,781.27"
Fiscal 2010/11,Thompson Okanagan,Central Okanagan Regional District,SPIRITS,"562,159.65","17,486,347.04"
Fiscal 2010/11,Thompson Okanagan,Central Okanagan Regional District,WINE,"1,508,211.53","19,886,391.63"
Fiscal 2010/11,Thompson Okanagan,Columbia-Shuswap Regional District,BEER,"1,167,331.62","4,832,743.46"
Fiscal 2010/11,Thompson Okanagan,Columbia-Shuswap Regional District,REFRESHMENT BEVERAGE,"117,653.06","544,341.27"
Fiscal 2010/11,Thompson Okanagan,Columbia-Shuswap Regional District,SPIRITS,"139,456.02","4,279,635.90"
Fiscal 2010/11,Thompson Okanagan,Columbia-Shuswap Regional District,WINE,"289,781.14","3,459,455.53"
Fiscal 2010/11,Thompson Okanagan,North Okanagan Regional District,BEER,"921,683.30","3,856,928.05"
Fiscal 2010/11,Thompson Okanagan,North Okanagan Regional District,REFRESHMENT BEVERAGE,"119,174.91","546,431.89"
Fiscal 2010/11,Thompson Okanagan,North Okanagan Regional District,SPIRITS,"152,200.71","4,722,960.16"
Fiscal 2010/11,Thompson Okanagan,North Okanagan Regional District,WINE,"369,889.07","4,641,469.85"
Fiscal 2010/11,Thompson Okanagan,Okanagan-Similkameen Regional District,BEER,"2,536,522.54","10,505,273.59"
Fiscal 2010/11,Thompson Okanagan,Okanagan-Similkameen Regional District,REFRESHMENT BEVERAGE,"321,271.60","1,458,090.87"
Fiscal 2010/11,Thompson Okanagan,Okanagan-Similkameen Regional District,SPIRITS,"329,586.20","10,027,118.97"
Fiscal 2010/11,Thompson Okanagan,Okanagan-Similkameen Regional District,WINE,"771,799.71","9,019,064.92"
Fiscal 2010/11,Thompson Okanagan,Thompson-Nicola Regional District,BEER,"3,322,947.44","13,741,304.53"
Fiscal 2010/11,Thompson Okanagan,Thompson-Nicola Regional District,REFRESHMENT BEVERAGE,"408,590.93","1,884,826.84"
Fiscal 2010/11,Thompson Okanagan,Thompson-Nicola Regional District,SPIRITS,"438,600.63","13,495,084.42"
Fiscal 2010/11,Thompson Okanagan,Thompson-Nicola Regional District,WINE,"843,935.11","10,316,831.80"
Fiscal 2010/11,Vancouver Island and Coast,Alberni-Clayoquot Regional District,BEER,"1,120,746.27","4,550,613.68"
Fiscal 2010/11,Vancouver Island and Coast,Alberni-Clayoquot Regional District,REFRESHMENT BEVERAGE,"125,533.44","567,460.27"
Fiscal 2010/11,Vancouver Island and Coast,Alberni-Clayoquot Regional District,SPIRITS,"111,632.21","3,418,652.12"
Fiscal 2010/11,Vancouver Island and Coast,Alberni-Clayoquot Regional District,WINE,"249,433.83","2,895,463.39"
Fiscal 2010/11,Vancouver Island and Coast,Capital Regional District,BEER,"5,806,797.69","24,794,193.02"
Fiscal 2010/11,Vancouver Island and Coast,Capital Regional District,REFRESHMENT BEVERAGE,"770,428.12","3,448,426.73"
Fiscal 2010/11,Vancouver Island and Coast,Capital Regional District,SPIRITS,"922,978.73","29,524,974.55"
Fiscal 2010/11,Vancouver Island and Coast,Capital Regional District,WINE,"3,082,437.53","40,634,891.05"
Fiscal 2010/11,Vancouver Island and Coast,Central Coast Regional District,BEER,"153,390.41","639,604.47"
Fiscal 2010/11,Vancouver Island and Coast,Central Coast Regional District,REFRESHMENT BEVERAGE,"25,771.82","110,551.17"
Fiscal 2010/11,Vancouver Island and Coast,Central Coast Regional District,SPIRITS,"14,884.44","444,716.20"
Fiscal 2010/11,Vancouver Island and Coast,Central Coast Regional District,WINE,"20,535.98","223,417.69"
Fiscal 2010/11,Vancouver Island and Coast,Comox Valley Regional District,BEER,"889,220.41","3,759,954.83"
Fiscal 2010/11,Vancouver Island and Coast,Comox Valley Regional District,REFRESHMENT BEVERAGE,"121,933.38","549,637.67"
Fiscal 2010/11,Vancouver Island and Coast,Comox Valley Regional District,SPIRITS,"155,559.46","4,884,100.20"
Fiscal 2010/11,Vancouver Island and Coast,Comox Valley Regional District,WINE,"485,087.09","5,796,110.84"
Fiscal 2010/11,Vancouver Island and Coast,Cowichan Valley Regional District,BEER,"1,435,517.89","5,877,105.61"
Fiscal 2010/11,Vancouver Island and Coast,Cowichan Valley Regional District,REFRESHMENT BEVERAGE,"199,561.75","884,108.36"
Fiscal 2010/11,Vancouver Island and Coast,Cowichan Valley Regional District,SPIRITS,"187,896.51","5,708,688.13"
Fiscal 2010/11,Vancouver Island and Coast,Cowichan Valley Regional District,WINE,"488,881.37","5,446,746.70"
Fiscal 2010/11,Vancouver Island and Coast,Mount Waddington Regional District,BEER,"606,407.41","2,478,882.25"
Fiscal 2010/11,Vancouver Island and Coast,Mount Waddington Regional District,REFRESHMENT BEVERAGE,"113,808.25","492,551.29"
Fiscal 2010/11,Vancouver Island and Coast,Mount Waddington Regional District,SPIRITS,"62,594.14","1,903,615.26"
Fiscal 2010/11,Vancouver Island and Coast,Mount Waddington Regional District,WINE,"113,025.02","1,214,396.79"
Fiscal 2010/11,Vancouver Island and Coast,Nanaimo Regional District,BEER,"2,412,218.50","10,101,542.00"
Fiscal 2010/11,Vancouver Island and Coast,Nanaimo Regional District,REFRESHMENT BEVERAGE,"298,529.26","1,352,883.07"
Fiscal 2010/11,Vancouver Island and Coast,Nanaimo Regional District,SPIRITS,"409,661.22","12,710,141.85"
Fiscal 2010/11,Vancouver Island and Coast,Nanaimo Regional District,WINE,"1,241,849.39","14,913,565.61"
Fiscal 2010/11,Vancouver Island and Coast,Powell River Regional District,BEER,"365,736.69","1,522,858.92"
Fiscal 2010/11,Vancouver Island and Coast,Powell River Regional District,REFRESHMENT BEVERAGE,"53,756.24","239,550.73"
Fiscal 2010/11,Vancouver Island and Coast,Powell River Regional District,SPIRITS,"58,770.98","1,825,327.02"
Fiscal 2010/11,Vancouver Island and Coast,Powell River Regional District,WINE,"148,441.56","1,663,350.69"
Fiscal 2010/11,Vancouver Island and Coast,Strathcona Regional District,BEER,"752,099.24","3,145,554.35"
Fiscal 2010/11,Vancouver Island and Coast,Strathcona Regional District,REFRESHMENT BEVERAGE,"100,276.87","451,265.07"
Fiscal 2010/11,Vancouver Island and Coast,Strathcona Regional District,SPIRITS,"119,367.71","3,673,659.32"
